ID,trial_index,condition_label,trial_type_label,visual_stimulus,tactile_stimulus,combo,felt_position,z_RT,error,visual_error,tactile_error
5,5,cube,OV,0,4,0-4,4,-1.039,0,,
5,6,cube,DP,2,3,2-3,1,-0.528,1,0,1
5,7,cube,SP,2,2,2-2,2,-1.174,0,,
5,8,cube,OT,4,0,4-0,0,,0,,
5,9,cube,DP,2,1,2-1,1,-0.169,0,0,0
5,10,cube,DP,1,2,1-2,2,0.071,0,0,0
5,11,cube,SP,3,3,3-3,1,-0.676,1,,
5,12,cube,OV,0,4,0-4,3,0.803,1,,
5,13,cube,OV,0,4,0-4,4,0.955,0,,
5,14,cube,SP,3,3,3-3,1,-0.427,1,,
5,15,cube,DP,2,1,2-1,1,0.793,0,0,0
5,16,cube,SP,2,2,2-2,2,0.044,0,,
5,17,cube,OV,0,1,0-1,1,0.2,0,,
5,18,cube,DP,4,1,4-1,1,-0.225,0,0,0
5,19,cube,SP,3,3,3-3,3,-0.303,0,,
5,20,cube,OT,4,0,4-0,0,,0,,
5,21,cube,SP,4,4,4-4,4,1.648,0,,
5,22,cube,OT,1,0,1-0,0,,0,,
5,23,cube,OT,4,0,4-0,0,,0,,
5,24,cube,DP,1,4,1-4,4,,0,0,0
5,25,cube,OT,1,0,1-0,0,,0,,
5,26,cube,SP,2,2,2-2,2,-0.936,0,,
5,27,cube,OT,3,0,3-0,0,,0,,
5,28,cube,SP,1,1,1-1,1,0.078,0,,
5,29,cube,OV,0,3,0-3,3,4.735,0,,
5,30,cube,OT,4,0,4-0,0,,0,,
5,31,cube,DP,4,3,4-3,1,-0.823,1,0,1
5,32,cube,DP,1,4,1-4,4,0.938,0,0,0
5,33,cube,OT,3,0,3-0,0,,0,,
5,34,cube,SP,1,1,1-1,1,0.565,0,,
5,35,cube,OV,0,2,0-2,2,1.523,0,,
