participant,condition,stimulation_type,ruler_position,distance,answer
7,hand,OT,0.12,0.23,31.0
7,hand,OT,0.33,0.01999998,11.0
7,hand,OT,0.27,0.07999998,16.0
7,hand,OT,0.24,0.11,19.0
7,hand,SP,0.18,0.17,38.0
7,hand,SP,0.27,0.07999998,29.0
7,hand,SP,0.33,0.01999998,23.0
7,hand,SP,0.21,0.14,33.0
7,hand,SP,0.12,0.23,46.0
7,hand,SP,0.12,0.23,44.0
7,hand,SP,0.15,0.2,43.0
7,hand,SP,0.27,0.07999998,32.0
7,hand,SP,0.33,0.01999998,25.0
7,hand,SP,0.24,0.11,33.0
7,hand,DP,0.18,0.17,25.0
7,hand,DP,0.21,0.14,23.0
7,hand,DP,0.15,0.2,29.0
7,hand,DP,0.24,0.11,22.0
7,hand,DP,0.3,0.04999998,16.0
7,hand,DP,0.21,0.14,21.0
7,hand,DP,0.18,0.17,24.0
7,hand,DP,0.15,0.2,28.0
7,hand,DP,0.12,0.23,30.0
7,hand,DP,0.33,0.01999998,10.0
8,cube,OV,0.27,0.07999998,23.0
8,cube,OV,0.15,0.2,34.0
8,cube,OV,0.21,0.14,29.0
8,cube,OV,0.3,0.04999998,22.0
8,cube,OV,0.33,0.01999998,18.0
8,cube,OV,0.12,0.23,35.0
8,cube,OV,0.24,0.11,23.0
8,cube,OV,0.33,0.01999998,15.0
8,cube,OV,0.18,0.17,30.0
8,cube,OV,0.21,0.14,27.0
8,cube,OT,0.12,0.23,31.0
8,cube,OT,0.24,0.11,20.0
8,cube,OT,0.27,0.07999998,17.0
8,cube,OT,0.33,0.01999998,13.0
8,cube,OT,0.15,0.2,31.0
8,cube,OT,0.3,0.04999998,13.0
8,cube,OT,0.24,0.11,19.0
8,cube,OT,0.15,0.2,28.0
8,cube,OT,0.12,0.23,31.0
8,cube,OT,0.33,0.01999998,9.0
8,cube,SP,0.33,0.01999998,17.0
8,cube,SP,0.21,0.14,29.0
8,cube,SP,0.24,0.11,25.0
8,cube,SP,0.18,0.17,32.0
8,cube,SP,0.15,0.2,35.0
8,cube,SP,0.18,0.17,29.0
8,cube,SP,0.3,0.04999998,20.0
8,cube,SP,0.15,0.2,33.0
8,cube,SP,0.12,0.23,35.0
8,cube,SP,0.24,0.11,23.0
8,cube,DP,0.27,0.07999998,18.0
8,cube,DP,0.12,0.23,32.0
8,cube,DP,0.21,0.14,22.0
8,cube,DP,0.33,0.01999998,11.0
8,cube,DP,0.24,0.11,20.0
8,cube,DP,0.3,0.04999998,14.0
8,cube,DP,0.12,0.23,32.0
8,cube,DP,0.33,0.01999998,11.0
8,cube,DP,0.27,0.07999998,18.0
8,cube,DP,0.21,0.14,23.0
8,hand,OV,0.15,0.2,33.0
8,hand,OV,0.18,0.17,31.0
8,hand,OV,0.12,0.23,35.0
8,hand,OV,0.27,0.07999998,20.0
8,hand,OV,0.24,0.11,25.0
8,hand,OV,0.24,0.11,19.0
8,hand,OV,0.33,0.01999998,12.0
8,hand,OV,0.21,0.14,24.0
8,hand,OV,0.18,0.17,27.0
8,hand,OV,0.15,0.2,31.0
8,hand,OT,0.15,0.2,33.0
8,hand,OT,0.3,0.04999998,20.0
8,hand,OT,0.12,0.23,36.0
8,hand,OT,0.18,0.17,31.0
8,hand,OT,0.27,0.07999998,22.0
8,hand,OT,0.24,0.11,
8,hand,OT,0.27,0.07999998,18.0
8,hand,OT,0.18,0.17,27.0
8,hand,OT,0.12,0.23,33.0
8,hand,OT,0.15,0.2,30.0
8,hand,SP,0.24,0.11,22.0
8,hand,SP,0.27,0.07999998,21.0
8,hand,SP,0.21,0.14,26.0
8,hand,SP,0.33,0.01999998,15.0
8,hand,SP,0.12,0.23,36.0
8,hand,SP,0.3,0.04999998,13.0
8,hand,SP,0.12,0.23,32.0
8,hand,SP,0.33,0.01999998,9.0
8,hand,SP,0.18,0.17,29.0
8,hand,SP,0.21,0.14,24.0
8,hand,DP,0.18,0.17,29.0
8,hand,DP,0.12,0.23,35.0
8,hand,DP,0.21,0.14,26.0
8,hand,DP,0.33,0.01999998,14.0
8,hand,DP,0.27,0.07999998,22.0
8,hand,DP,0.12,0.23,32.0
8,hand,DP,0.24,0.11,20.0
8,hand,DP,0.33,0.01999998,15.0
8,hand,DP,0.18,0.17,28.0
8,hand,DP,0.15,0.2,30.0
9,cube,OV,0.24,0.11,28.0
9,cube,OV,0.3,0.04999998,21.0
9,cube,OV,0.27,0.07999998,24.0
9,cube,OV,0.12,0.23,39.0
9,cube,OV,0.18,0.17,32.0
9,cube,OV,0.3,0.04999998,22.0
9,cube,OV,0.27,0.07999998,25.0
9,cube,OV,0.12,0.23,39.0
9,cube,OV,0.24,0.11,27.0
9,cube,OV,0.15,0.2,35.0
9,cube,OT,0.3,0.04999998,23.0
9,cube,OT,0.15,0.2,40.0
9,cube,OT,0.33,0.01999998,22.0
9,cube,OT,0.24,0.11,29.0
9,cube,OT,0.27,0.07999998,25.0
9,cube,OT,0.18,0.17,34.0
9,cube,OT,0.21,0.14,32.0
9,cube,OT,0.3,0.04999998,25.0
9,cube,OT,0.27,0.07999998,28.0
9,cube,OT,0.24,0.11,32.0
9,cube,SP,0.15,0.2,37.0
9,cube,SP,0.24,0.11,28.0
9,cube,SP,0.3,0.04999998,25.0
9,cube,SP,0.21,0.14,35.0
9,cube,SP,0.33,0.01999998,22.0
9,cube,SP,0.3,0.04999998,24.0
9,cube,SP,0.18,0.17,35.0
9,cube,SP,0.33,0.01999998,20.0
